#pt_Higgs-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
            174   0.0017527843  5.4764282e-05   0.0015761855  4.7997309e-05   0.0019456957  6.9186581e-05
            175   0.0016389739  5.4025777e-05   0.0015059982  4.7062217e-05   0.0017525787  6.8338105e-05
            176   0.0017643994  5.4952084e-05   0.0016210024  4.8465268e-05   0.0018958343  6.8183301e-05
            177   0.0016216231  5.3403568e-05   0.0014730937  4.6628033e-05   0.0017622568  6.8254054e-05
            178   0.0016818819  5.3470262e-05   0.0015030776  4.6508149e-05   0.0018840246  6.7361444e-05
            179   0.0016378404  5.2838326e-05   0.0014753795  4.5554533e-05   0.0018155871  6.7759092e-05
            180   0.0016652808  5.2817459e-05   0.0015077407  4.6484269e-05   0.0018404756  6.6177976e-05
            181   0.0015237307  5.1792034e-05   0.0013815519  4.5312021e-05   0.0016447932  6.5517528e-05
            182   0.0015622342  5.1915648e-05   0.0014012786  4.4995512e-05   0.0017543242  6.6046697e-05
            183    0.001466578  5.1528888e-05   0.0013259553  4.4529859e-05   0.0016096021  6.5507241e-05
            184   0.0015042214  5.1423415e-05   0.0013762176  4.4794847e-05   0.0016492672  6.5673389e-05
            185   0.0014434244  4.9484389e-05   0.0012842332  4.2406656e-05   0.0016104401  6.3658923e-05
            186   0.0013997229  4.9658291e-05   0.0012626747   4.314018e-05   0.0015405857  6.2972035e-05
            187   0.0015466211  5.1206226e-05     0.00139831  4.4877706e-05   0.0017267911  6.4495343e-05
            188   0.0013555491  4.8458636e-05   0.0012112359  4.1372698e-05   0.0015105779  6.2713674e-05
            189   0.0014981492  5.0089633e-05   0.0013304789  4.3216343e-05    0.001691964  6.3923001e-05
            190   0.0014076693  4.9815941e-05   0.0012758775  4.3367023e-05   0.0015421748  6.3278796e-05
            191   0.0012572452  4.6735218e-05   0.0011081079  3.9563768e-05   0.0014424131  6.1157504e-05
            192   0.0012989926  4.8026806e-05   0.0011695455  4.1077897e-05   0.0014417082  6.1894423e-05
            193   0.0013141131  4.8174743e-05   0.0012014297  4.1824649e-05   0.0014231294  6.0959423e-05
            194   0.0013210657  4.7951641e-05   0.0011979029  4.1630749e-05   0.0014494785  6.0188221e-05
            195   0.0012653685  4.6148677e-05      0.0011139  3.9733955e-05   0.0014472029  5.8836903e-05
            196   0.0013010092  4.7409428e-05    0.001169419  4.0980422e-05   0.0014633098  6.0781838e-05
            197   0.0013296701  4.7050221e-05   0.0011914044  4.1044236e-05   0.0014813314  5.8923103e-05
            198   0.0011960219  4.6128322e-05   0.0010715932  3.9699848e-05   0.0013262205   5.933596e-05
            199    0.001247421  4.7126756e-05   0.0011324082  4.0649507e-05    0.001364381  6.0071294e-05
            200   0.0011901686  4.5297286e-05   0.0010694562  3.8848889e-05   0.0013358373  5.7909572e-05
            201   0.0012019945  4.4830179e-05   0.0010804728  3.8933639e-05   0.0013402555  5.6639215e-05
            202   0.0011872331  4.5217418e-05   0.0010720566  3.9025502e-05   0.0013394102  5.7460327e-05
            203   0.0011697138  4.5201923e-05   0.0010621018  3.8980541e-05   0.0012673896  5.7133946e-05
            204   0.0011935076  4.4428875e-05     0.00106081  3.8287519e-05    0.001357483  5.6814843e-05
            205   0.0011861638  4.4780452e-05    0.001052838  3.8768558e-05   0.0013423057  5.6726276e-05
            206   0.0010657689  4.2709764e-05  0.00095044058  3.6790868e-05   0.0012046091  5.4202724e-05
            207   0.0011223044  4.3527756e-05   0.0010010048  3.7323232e-05   0.0012541535  5.5712881e-05
            208   0.0010453963  4.2410612e-05  0.00089846867  3.5604936e-05   0.0012178622  5.5046476e-05
            209   0.0010364098   4.223426e-05  0.00091177464  3.6048526e-05   0.0011626238  5.3357747e-05
            210  0.00099334373  4.2118837e-05  0.00089970329  3.6135817e-05   0.0010808341  5.4283506e-05
            211   0.0010460757  4.2850772e-05  0.00094068475  3.6606382e-05   0.0011663139  5.5276291e-05
            212   0.0010787458  4.3187925e-05  0.00097540686  3.7012066e-05    0.001210209  5.5584934e-05
            213   0.0010178754  4.1808422e-05  0.00091054187  3.5594257e-05    0.001138173   5.442559e-05
            214   0.0010443644  4.3309507e-05  0.00092975746  3.7337972e-05   0.0011593062   5.454904e-05
            215  0.00099749473  4.1386818e-05   0.0008583976  3.4747213e-05   0.0011730317  5.3698241e-05
            216   0.0010224101  4.2038141e-05  0.00091151418  3.6381594e-05    0.001158077  5.3242794e-05
            217   0.0010046417  4.1046665e-05  0.00088178259   3.484875e-05   0.0011586401  5.3323309e-05
            218  0.00098417071  4.0361796e-05  0.00087796905  3.4817173e-05   0.0010856588  5.0845054e-05
            219   0.0010052108  4.1233682e-05   0.0008951014  3.5172832e-05   0.0011364559  5.2543522e-05
            220  0.00084949638  3.8845956e-05  0.00074081775  3.2586526e-05  0.00097976354  5.0498525e-05
            221  0.00089988633  3.9642527e-05  0.00079159984  3.3862013e-05   0.0010298039  5.0613955e-05
            222  0.00079165524  3.7367534e-05  0.00067013231  3.0859483e-05  0.00092647952  4.8752546e-05
            223  0.00085586203  3.7743824e-05  0.00075328817  3.2331352e-05  0.00096631885  4.7568559e-05
            224  0.00088117619  3.8833753e-05  0.00078619531  3.3474863e-05  0.00097394578   4.869224e-05
            225  0.00088494738  3.8565578e-05  0.00079905633  3.3489823e-05  0.00097905333  4.8319664e-05
            226  0.00078864661  3.6508847e-05  0.00068955836  3.0740349e-05  0.00091027689  4.7532726e-05
            227  0.00083718928  3.9152601e-05  0.00075089679  3.3353956e-05  0.00095972291  4.9922804e-05
            228  0.00083299866   3.809138e-05  0.00073613272  3.2367587e-05  0.00094864734  4.9052373e-05
            229  0.00078233667  3.7579825e-05  0.00068913798  3.1868343e-05  0.00087507722  4.7993016e-05
            230  0.00084654088  3.7982711e-05  0.00074653448  3.2121632e-05  0.00097373302  4.9396899e-05
            231  0.00086391743  3.7661682e-05  0.00077264222   3.241753e-05  0.00095484517  4.7330388e-05
            232  0.00082445928  3.7696171e-05  0.00072488093  3.2071632e-05  0.00092625895  4.7345723e-05
            233  0.00075206603   3.642074e-05  0.00065083172  3.0809409e-05  0.00085195387  4.6374195e-05
            234  0.00076038556  3.5615312e-05  0.00068053698  3.0604647e-05  0.00086058564  4.5486291e-05
            235  0.00064852824  3.4130389e-05  0.00057123805  2.8973355e-05  0.00075831261  4.4212079e-05
            236  0.00074352784  3.5668581e-05  0.00062107496  2.9496477e-05  0.00086844975  4.5403204e-05
            237  0.00064849163  3.4099331e-05  0.00054021355  2.8319673e-05  0.00075961814  4.3161857e-05
            238  0.00068585561  3.4531746e-05  0.00060700507  2.9385219e-05    0.000771671  4.3841494e-05
            239  0.00071551097  3.4880036e-05  0.00063404561  2.9857447e-05  0.00076764014  4.1643176e-05
            240  0.00062346882  3.3387596e-05  0.00054247864  2.7844665e-05  0.00071189827  4.3789865e-05
            241  0.00067524922   3.438453e-05  0.00056520499  2.8286934e-05  0.00080343357  4.4630819e-05
            242  0.00069391853  3.4078766e-05  0.00061421917  2.9031989e-05  0.00079508693  4.3181085e-05
            243  0.00067365615  3.4337904e-05  0.00059579299  2.9215737e-05  0.00075785852   4.342372e-05
            244  0.00060814605  3.2570929e-05  0.00053351745  2.7005909e-05  0.00070522022  4.3466692e-05
            245  0.00061717916  3.2836275e-05  0.00053913077  2.7653454e-05  0.00069237222  4.2021795e-05
            246  0.00057396958  3.1410254e-05  0.00050023212  2.6462983e-05  0.00067297392   3.999838e-05
            247  0.00069472943  3.3586614e-05  0.00059896542  2.8218239e-05  0.00080714456  4.2400862e-05
            248  0.00062414832  3.3696846e-05  0.00054039782  2.8166247e-05  0.00071779391  4.3250831e-05
            249  0.00063413555  3.3438215e-05  0.00055432925  2.8044134e-05  0.00072306459  4.3012072e-05
            250  0.00059087011  3.2065652e-05  0.00051128323  2.6641539e-05  0.00068936281    4.21235e-05
            251  0.00053171343  3.0643395e-05  0.00044939693  2.5205223e-05  0.00063489968  3.9754727e-05
            252  0.00072474448  3.5233524e-05  0.00064639339   3.027981e-05  0.00081762176  4.4422645e-05
            253  0.00054988427  3.1416918e-05  0.00047082646  2.6373434e-05  0.00063936545  3.9685901e-05
            254  0.00050040429  2.9707854e-05  0.00042392834  2.4710602e-05   0.0006100285  3.9120178e-05
            255  0.00053330599  3.0652347e-05  0.00044195591  2.5332965e-05   0.0006433208  3.9246115e-05
            256  0.00052619196  3.0274515e-05  0.00044042676  2.4694453e-05  0.00061669313  3.9337779e-05
            257  0.00055012575  3.0946777e-05  0.00044406544   2.554882e-05  0.00065088475  3.8687958e-05
            258  0.00055576165   3.028855e-05  0.00047542038  2.5318372e-05  0.00064123276   3.832356e-05
            259  0.00050524198  3.0163878e-05  0.00043650944  2.5022943e-05   0.0006180814  3.9655207e-05
            260   0.0005124468  2.9485465e-05  0.00045395285  2.5156935e-05  0.00057812545  3.7558686e-05
            261  0.00054408521  3.0266588e-05    0.000465739  2.5271571e-05   0.0006328132  3.8352236e-05
            262  0.00056848956  3.0815734e-05  0.00049042708  2.5522486e-05  0.00066579367   3.990759e-05
            263  0.00048854334   2.982109e-05  0.00040314516  2.4448167e-05  0.00060427132  3.9471181e-05
            264  0.00052387063  2.9029182e-05   0.0004433896  2.4298074e-05  0.00062383061  3.6627565e-05
            265  0.00046810358  2.8587297e-05  0.00038134354  2.3478882e-05  0.00056413184  3.7315316e-05
            266  0.00055507409  3.0727155e-05  0.00048624968  2.6036333e-05  0.00062014966  3.8327277e-05
            267  0.00045260961  2.8275293e-05  0.00040669667  2.3960243e-05  0.00053369594  3.7722901e-05
            268  0.00048617323  2.9165034e-05  0.00037895735    2.30661e-05  0.00060417784  3.8801531e-05
            269  0.00043893936  2.6984703e-05  0.00033693097  2.1473055e-05  0.00057035432  3.6054957e-05
            270  0.00046932467  2.8160668e-05  0.00039026928    2.29896e-05  0.00056455012  3.6535749e-05
            271  0.00043969759  2.8030977e-05  0.00037089131  2.3098276e-05  0.00051993438   3.602559e-05
