# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R2
            138   0.0025543059  6.7351565e-05   0.0025402682  6.7048604e-05   0.0025785122  6.7860049e-05
            139   0.0025154022  6.6358472e-05   0.0024999646  6.6025439e-05   0.0025397481  6.6904353e-05
            140   0.0024554939  6.5767364e-05   0.0024426314  6.5486114e-05   0.0024754491  6.6272304e-05
            141   0.0024093711  6.5341446e-05   0.0023988261  6.5145782e-05   0.0024288283  6.5919726e-05
            142    0.002377351  6.4470959e-05    0.002363925  6.4171692e-05   0.0023959337  6.4884887e-05
            143   0.0023822929  6.5053204e-05   0.0023699342   6.477034e-05   0.0024035862  6.5564919e-05
            144   0.0023022661  6.4071449e-05   0.0022837688  6.3748032e-05   0.0023368216  6.4908898e-05
            145   0.0023975447  6.4176419e-05   0.0023838688  6.3889437e-05   0.0024162214  6.4597439e-05
            146   0.0024872501  6.6103402e-05   0.0024736774  6.5810155e-05   0.0025061462  6.6560711e-05
            147   0.0023570603  6.3525355e-05   0.0023457051  6.3002873e-05    0.002375301   6.374725e-05
            148   0.0021978028  6.1941596e-05   0.0021852941  6.1652069e-05   0.0022125353  6.2313101e-05
            149   0.0022775617  6.2388629e-05   0.0022646361  6.2090706e-05   0.0022917337  6.2740807e-05
            150   0.0022544782  6.3036939e-05   0.0022459107  6.2827125e-05   0.0022703983   6.358502e-05
            151   0.0021182826   6.108213e-05   0.0021065979  6.0788846e-05    0.002132762   6.144623e-05
            152    0.002151462  6.1853639e-05   0.0021408708  6.1664807e-05   0.0021693441  6.2301487e-05
            153   0.0022591273  6.2655292e-05   0.0022456792  6.2359003e-05   0.0022743237  6.3037716e-05
            154   0.0021011846  6.1248628e-05   0.0020887018  6.1243028e-05   0.0021143063  6.1893624e-05
            155   0.0021496541  6.2147514e-05   0.0021371832  6.1842822e-05   0.0021629338  6.2577956e-05
            156   0.0021851885  6.1950273e-05   0.0021730034  6.1639773e-05   0.0021982595  6.2318505e-05
            157   0.0019372292  5.9726699e-05   0.0019263093  5.9462044e-05   0.0019488038  6.0055342e-05
            158   0.0019821984  5.8752527e-05   0.0019712965  5.8482092e-05   0.0019942793  5.9027245e-05
            159   0.0020566424  6.0186538e-05   0.0020443167  5.9883204e-05   0.0020637524  6.0365706e-05
            160   0.0020148839  5.8805548e-05   0.0020041039  5.8552996e-05   0.0020276072  5.9168641e-05
            161      0.0021089  6.0422752e-05   0.0020978398  6.0133602e-05   0.0021231762  6.0833417e-05
            162   0.0020563261  5.9192872e-05    0.002045429  5.8915186e-05    0.002070227  5.9556456e-05
            163   0.0018945683   5.775663e-05   0.0018838246  5.7481036e-05   0.0019058274  5.8035937e-05
            164   0.0019321203  5.8253496e-05   0.0019214087  5.7997048e-05   0.0019440043  5.8565644e-05
            165   0.0019288558  5.7859872e-05   0.0019198892  5.7631527e-05    0.001942667  5.8211862e-05
            166   0.0018781028  5.7653799e-05   0.0018675681  5.7402431e-05   0.0018890721  5.7966768e-05
            167   0.0018158316  5.6533011e-05   0.0018053592  5.6276206e-05    0.001829004   5.691029e-05
            168   0.0018939125  5.6480744e-05   0.0018841116  5.6230096e-05   0.0019056711  5.6743385e-05
            169   0.0018696517  5.6902884e-05   0.0018587367  5.6645764e-05   0.0018778494  5.7162331e-05
            170    0.001743965  5.5270174e-05   0.0017345812  5.5033004e-05   0.0017515667  5.5477215e-05
            171   0.0018419085  5.6311937e-05   0.0018260476  5.6208233e-05   0.0018480838  5.6456527e-05
            172   0.0017583592  5.5370632e-05   0.0017492486  5.5132892e-05   0.0017655864   5.584799e-05
            173    0.001737859  5.4538582e-05    0.001727563  5.4262033e-05   0.0017450736  5.4744056e-05
            174   0.0017527843  5.4764283e-05    0.001743439  5.4516872e-05   0.0017618377  5.5029459e-05
            175   0.0016389739  5.4025778e-05   0.0016257828  5.3828524e-05   0.0016449605  5.4498983e-05
            176   0.0017643994  5.4952085e-05   0.0017534168  5.4643772e-05   0.0017727721  5.5152431e-05
            177   0.0016216231  5.3403569e-05   0.0016122165  5.3144479e-05   0.0016289899  5.3612555e-05
            178    0.001681882  5.3470263e-05   0.0016733395   5.322436e-05     0.00169117  5.3766305e-05
            179   0.0016378404  5.2838326e-05   0.0016329687  5.2744642e-05   0.0016495016  5.3234193e-05
            180   0.0016652809   5.281746e-05   0.0016560208  5.2560828e-05   0.0016725905  5.3030986e-05
            181   0.0015237308  5.1792035e-05   0.0015140258  5.1500951e-05    0.001530116  5.2014863e-05
            182   0.0015622342  5.1915649e-05     0.00155419  5.1708737e-05   0.0015704523  5.2195124e-05
            183   0.0014665781  5.1528889e-05     0.00145887  5.1289851e-05    0.001472566  5.1733512e-05
            184   0.0015042214  5.1423416e-05   0.0014955948  5.1189677e-05   0.0015130001  5.1683575e-05
            185   0.0014434244   4.948439e-05   0.0014359185  4.9267325e-05    0.001448481  4.9628505e-05
            186    0.001399723  4.9658291e-05   0.0013922921  4.9446651e-05   0.0014063014  4.9900138e-05
            187   0.0015466211  5.1206227e-05    0.001537401  5.0943126e-05   0.0015538777  5.1432179e-05
            188   0.0013555492  4.8458637e-05   0.0013477726  4.8323467e-05   0.0013598283  4.8731652e-05
